Account_ID,Account_Name,Industry,Country,DUNS,Owner
A0,APEX HEALTH 0,Retail,India,685582861.0,Vikram
A1,APEX SYSTEMS 1,Manufacturing,India,868820204.0,Vikram
A2,VERTEX HEALTH 2,Banking,United States,553778756.0,Amit
A3,DELTA SYSTEMS 3,Banking,United States,384027113.0,Neha
A4,NOVA LABS 4,Healthcare,Singapore,488302652.0,Priya
A5,ZEN HEALTH 5,Retail,India,586845604.0,Divya
A6,DELTA ENERGY 6,Healthcare,United States,176667861.0,Amit
A7,ZEN HOLDINGS 7,Healthcare,Singapore,698020238.0,Divya
A8,ZEN TECH 8,Software,India,709004943.0,Divya
A9,VERTEX LABS 9,Energy,United States,364814270.0,Karthik
A10,PRIME LABS 10,Retail,Singapore,,Priya
A11,BLUE LABS 11,Software,United States,668132202.0,Rahul
A12,LUMEN HEALTH 12,Healthcare,India,103484630.0,Karthik
A13,BLUE SYSTEMS 13,Healthcare,Singapore,313579170.0,Amit
A14,LUMEN TECH 14,Software,Singapore,992994062.0,Sneha
A15,ZEN SYSTEMS 15,Software,India,671988889.0,Amit
A16,LUMEN HOLDINGS 16,Manufacturing,Germany,679064766.0,Sneha
A17,PRIME ENERGY 17,Manufacturing,United Kingdom,168747287.0,Sneha
A18,ZEN TECH 18,Energy,Singapore,454794895.0,Sneha
A19,VERTEX RETAIL 19,Energy,United Kingdom,607526654.0,Neha
A20,ZEN SYSTEMS 20,Software,Germany,882839238.0,Priya
A21,PRIME ENERGY 21,Banking,India,581695135.0,Amit
A22,VERTEX RETAIL 22,Banking,United Kingdom,690907304.0,Rahul
A23,ZEN HOLDINGS 23,Software,India,162959284.0,Rahul
A24,ORION GROUP 24,Energy,Germany,696751693.0,Neha
A25,ZEN HEALTH 25,Banking,United States,903132646.0,Rahul
A26,VERTEX HOLDINGS 26,Unclassified,Singapore,,Sneha
A27,NOVA RETAIL 27,Banking,Germany,726713347.0,Divya
A28,ZEN ENERGY 28,Software,United Kingdom,907308348.0,Rahul
A29,TERRA SYSTEMS 29,Retail,Germany,474745382.0,Sneha
A30,ORION HOLDINGS 30,Manufacturing,United Kingdom,966616964.0,Rahul
A31,ORION SYSTEMS 31,Retail,Singapore,897163846.0,Karthik
A32,TERRA RETAIL 32,Retail,United Kingdom,642678844.0,Rahul
A33,PRIME HEALTH 33,Unclassified,India,381272327.0,Neha
A34,PRIME TECH 34,Energy,Singapore,996139578.0,Amit
A35,BLUE TECH 35,Banking,Germany,367930513.0,Divya
A36,PRIME HOLDINGS 36,Retail,Singapore,970559510.0,Vikram
A37,BLUE ENERGY 37,Software,India,970535450.0,Amit
A38,PRIME TECH 38,Retail,India,981044229.0,Sneha
A39,APEX RETAIL 39,Healthcare,United States,399708182.0,Vikram
A40,DELTA TECH 40,Healthcare,Singapore,,Divya
A41,PRIME SYSTEMS 41,Manufacturing,United Kingdom,101815992.0,Sneha
A42,PRIME SYSTEMS 42,Healthcare,United Kingdom,233815413.0,Karthik
A43,ORION LABS 43,Energy,Singapore,551450815.0,Vikram
A44,TERRA HEALTH 44,Banking,United States,943702118.0,Divya
A45,VERTEX GROUP 45,Manufacturing,Germany,954725078.0,Priya
A46,LUMEN ENERGY 46,Retail,United Kingdom,313814138.0,Rahul
A47,VERTEX SYSTEMS 47,Energy,United States,512293741.0,Sneha
A48,APEX SYSTEMS 48,Retail,United States,,Priya
A49,BLUE GROUP 49,Manufacturing,Germany,575209597.0,Vikram
A50,VERTEX HOLDINGS 0,Software,Singapore,784683755.0,Neha
A51,ORION GROUP 1,Healthcare,United States,679984033.0,Amit
A52,PRIME HOLDINGS 2,Banking,United States,600282414.0,Sneha
A53,PRIME TECH 3,Manufacturing,Germany,,Vikram
A54,LUMEN RETAIL 4,Healthcare,Germany,,Vikram
A55,VERTEX HOLDINGS 5,Manufacturing,United States,811890569.0,
A56,BLUE GROUP 6,Healthcare,Germany,450948014.0,Vikram
A57,PRIME HEALTH 7,Software,United Kingdom,475767056.0,Priya
A58,APEX RETAIL 8,Banking,India,608482316.0,Sneha
