Account_ID,Account_Name,Industry,Country,DUNS,Owner
A0,Apex Health 0,Retail,India,685582861,Vikram
A1,Apex Systems 1,Manufacturing,India,868820204,Vikram
A2,Vertex Health 2,Banking,United States,553778756,Amit
A3,Delta Systems 3,Banking,United States,384027113,Neha
A4,Nova Labs 4,Healthcare,Singapore,488302652,Priya
A5,Zen Health 5,Retail,India,586845604,Divya
A6,Delta Energy 6,Healthcare,United States,176667861,Amit
A7,Zen Holdings 7,Healthcare,Singapore,698020238,Divya
A8,Zen Tech 8,Software,India,709004943,Divya
A9,Vertex Labs 9,Energy,United States,364814270,Karthik
A10,Prime Labs 10,Retail,Singapore,,Priya
A11,Blue Labs 11,Software,United States,668132202,Rahul
A12,Lumen Health 12,Healthcare,IN,103484630,Karthik
A13,Blue Systems 13,Healthcare,Singapore,313579170,Amit
A14,Lumen Tech 14,Software,SG,992994062,Sneha
A15,Zen Systems 15,Software,India,671988889,Amit
A16,Lumen Holdings 16,Manufacturing,Germany,679064766,Sneha
A17,Prime Energy 17,Manufacturing,United Kingdom,168747287,Sneha
A18,Zen Tech 18,Energy,SG,454794895,Sneha
A19,Vertex Retail 19,Energy,United Kingdom,607526654,Neha
A20,Zen Systems 20,Software,Germany,882839238,Priya
A21,Prime Energy 21,Banking,India,581695135,Amit
A22,Vertex Retail 22,Banking,United Kingdom,690907304,Rahul
A23,Zen Holdings 23,Software,India,162959284,Rahul
A24,Orion Group 24,Energy,Germany,696751693,Neha
A25,Zen Health 25,Banking,United States,903132646,Rahul
A26,Vertex Holdings 26,Misc,Singapore,,Sneha
A27,Nova Retail 27,Banking,Germany,726713347,Divya
A28,Zen Energy 28,Software,UK,907308348,Rahul
A29,Terra Systems 29,Retail,Germany,474745382,Sneha
A30,Orion Holdings 30,Manufacturing,United Kingdom,966616964,Rahul
A31,Orion Systems 31,Retail,Singapore,897163846,Karthik
A32,Terra Retail 32,Retail,United Kingdom,642678844,Rahul
A33,Prime Health 33,N/A,India,381272327,Neha
A34,Prime Tech 34,Energy,Singapore,996139578,Amit
A35,Blue Tech 35,Banking,Germany,367930513,Divya
A36,Prime Holdings 36,Retail,Singapore,970559510,Vikram
A37,Blue Energy 37,Software,India,970535450,Amit
A38,Prime Tech 38,Retail,IN,981044229,Sneha
A39,Apex Retail 39,Healthcare,United States,399708182,Vikram
A40,Delta Tech 40,Healthcare,SG,,Divya
A41,Prime Systems 41,Manufacturing,UK,101815992,Sneha
A42,Prime Systems 42,Healthcare,United Kingdom,233815413,Karthik
A43,Orion Labs 43,Energy,Singapore,551450815,Vikram
A44,Terra Health 44,Banking,United States,943702118,Divya
A45,Vertex Group 45,Manufacturing,Germany,954725078,Priya
A46,Lumen Energy 46,Retail,United Kingdom,313814138,Rahul
A47,Vertex Systems 47,Energy,United States,512293741,Sneha
A48,Apex Systems 48,Retail,US,,Priya
A49,Blue Group 49,Manufacturing,Germany,575209597,Vikram
A50,Vertex Holdings 0,Software,Singapore,784683755,Neha
A51,Orion Group 1,Healthcare,United States,679984033,Amit
A52,Prime Holdings 2,Banking,United States,600282414,Sneha
A53,Prime Tech 3,Manufacturing,Germany,,Vikram
A54,Lumen Retail 4,Healthcare,Germany,,Vikram
A55,Vertex Holdings 5,Manufacturing,US,811890569,
A56,Blue Group 6,Healthcare,Germany,450948014,Vikram
A57,Prime Health 7,Software,UK,475767056,Priya
A58,Apex Retail 8,Banking,India,608482316,Sneha
A59,Orion Energy 9,Manufacturing,Germany,935147672,Karthik
A60,Terra Tech 10,Manufacturing,India,525904456,Sneha
A61,Terra Retail 11,Healthcare,India,229981882,Rahul
A62,Lumen Labs 12,Banking,United Kingdom,551034639,Priya
A63,Delta Group 13,Software,DE,677858758,Neha
A64,Terra Health 14,Retail,Germany,,Sneha
A65,Terra Labs 15,Software,Germany,327761953,Karthik
A66,Orion Health 16,Manufacturing,United Kingdom,,Neha
A67,Zen Group 17,Software,Singapore,,Vikram
A68,Orion Energy 18,Manufacturing,United States,690975123,Neha
A69,Orion Health 19,Energy,UK,918394863,Sneha
A70,Vertex Health 20,Manufacturing,United States,994027897,Sneha
A71,Blue Health 21,Misc,United Kingdom,694164665,Amit
A72,Nova Tech 22,Software,Germany,155165334,Neha
A73,Nova Labs 23,Manufacturing,India,,Karthik
A74,Zen Systems 24,Software,India,342329714,Vikram
A75,Vertex Health 25,Software,Germany,754586204,Priya
A76,Zen Health 26,Retail,United States,268075622,
A77,Terra Group 27,Retail,Germany,587512424,Sneha
A78,Terra Retail 28,Manufacturing,United Kingdom,385220694,Priya
A79,Blue Health 29,Manufacturing,India,603260608,Vikram
A80,Lumen Group 30,Manufacturing,UK,748232591,Priya
A81,Terra Tech 31,Energy,United States,919382051,Neha
A82,Vertex Health 32,Manufacturing,Singapore,197970787,Vikram
A83,Delta Systems 33,Healthcare,United Kingdom,811443654,Rahul
A84,Nova Energy 34,Banking,Germany,652543518,Rahul
A85,Vertex Labs 35,N/A,Singapore,574637858,Sneha
A86,Lumen Holdings 36,Software,United Kingdom,130998324,Sneha
A87,Orion Tech 37,Banking,United States,221827951,Priya
A88,Vertex Health 38,Healthcare,United States,607042130,Amit
A89,Zen Holdings 39,Healthcare,Germany,464938258,Karthik
A90,Orion Health 40,Manufacturing,India,259553112,Neha
A91,Delta Labs 41,Healthcare,United Kingdom,356415500,Sneha
A92,Apex Energy 42,Energy,Germany,812630453,Amit
A93,Apex Holdings 43,Manufacturing,Germany,,Priya
A94,Vertex Tech 44,Software,Singapore,180346223,Karthik
A95,Terra Labs 45,Healthcare,United Kingdom,508031980,Neha
A96,Apex Systems 46,Energy,Singapore,901834280,Priya
A97,Vertex Holdings 47,Banking,india,502482554,Sneha
A98,Prime Holdings 48,Banking,Singapore,833510170,Amit
A99,Vertex Health 49,Energy,US,827579147,Priya
A100,Delta Health 0,Software,Germany,424400672,Vikram
A101,Nova Retail 1,Healthcare,Germany,417001612,
A102,Orion Tech 2,Energy,Germany,751124015,Karthik
A103,Terra Energy 3,Retail,United States,874090950,Amit
A104,Apex Health 4,Banking,India,196779973,Divya
A105,Blue Retail 5,Manufacturing,Germany,638798023,Amit
A106,Vertex Health 6,Healthcare,United Kingdom,180852074,Sneha
A107,Lumen Energy 7,Software,germany,822443971,Karthik
A108,Prime Energy 8,Retail,Singapore,702806585,Sneha
A109,Vertex Health 9,Banking,india,628951656,Sneha
A110,Blue Labs 10,Energy,Singapore,680027275,Amit
A111,Nova Group 11,Healthcare,DE,577488537,Divya
A112,Delta Energy 12,N/A,india,984968439,Sneha
A113,Apex Tech 13,Retail,Singapore,320337809,Sneha
A114,Zen Retail 14,Retail,Singapore,397721596,Amit
A115,Lumen Health 15,Banking,United States,,
A116,Terra Energy 16,N/A,US,900651998,Neha
A117,Lumen Systems 17,Retail,United Kingdom,,Karthik
A118,Apex Tech 18,Software,Germany,,Neha
A119,Nova Energy 19,Banking,IN,741444618,Neha
A120,Terra Labs 20,Energy,SG,345343109,Neha
A121,Prime Systems 21,Healthcare,Germany,263894795,Neha
A122,Nova Systems 22,Banking,India,239710404,Divya
A123,Prime Energy 23,Software,India,408839723,Divya
A124,Terra Retail 24,Software,India,,Divya
A125,Orion Retail 25,Manufacturing,India,758819288,Rahul
A126,Orion Tech 26,Energy,Singapore,476908532,
A127,Terra Labs 27,Misc,USA,587098457,Divya
A128,Delta Systems 28,Retail,UK,392168202,Vikram
A129,Terra Group 29,Retail,Germany,,Karthik
A130,Vertex Health 30,N/A,Singapore,,Sneha
A131,Orion Health 31,Banking,United States,238712095,Sneha
A132,Lumen Energy 32,Energy,SG,183604337,Vikram
A133,Prime Labs 33,Software,SG,763706947,Divya
A134,Prime Systems 34,Manufacturing,India,,Divya
A135,Delta Holdings 35,Energy,USA,475138838,Amit
A136,Nova Holdings 36,Retail,United States,803847447,Neha
A137,Terra Group 37,Manufacturing,Germany,447042200,Divya
A138,Vertex Systems 38,Energy,United States,160314355,Priya
A139,Vertex Group 39,N/A,United Kingdom,,Priya
A140,Terra Labs 40,Manufacturing,Singapore,144047803,Sneha
A141,Terra Group 41,Banking,United Kingdom,999126903,Priya
A142,Blue Tech 42,Software,Singapore,754773573,Divya
A143,Prime Labs 43,Energy,United Kingdom,795038832,Divya
A144,Lumen Labs 44,Energy,India,747145068,Divya
A145,Terra Holdings 45,Healthcare,India,520861681,Priya
A146,Lumen Labs 46,Healthcare,United Kingdom,990087914,Priya
A147,Lumen Energy 47,N/A,germany,922653967,Sneha
A148,Blue Systems 48,Banking,United States,893112954,Rahul
A149,Terra Holdings 49,Retail,UK,146914391,Sneha
A150,Terra Health 0,Software,Germany,968253265,Sneha
A151,Terra Group 1,Healthcare,United Kingdom,549533634,Sneha
A152,Blue Health 2,N/A,Singapore,210154881,Priya
A153,Nova Holdings 3,Manufacturing,UK,,Neha
A154,Apex Labs 4,N/A,United Kingdom,502559419,Divya
A155,Delta Holdings 5,Healthcare,India,992398092,Neha
A156,Terra Tech 6,Banking,Germany,689274064,Vikram
A157,Orion Retail 7,Banking,India,768737754,Priya
A158,Terra Tech 8,Manufacturing,Germany,560891752,
A159,Zen Labs 9,Energy,UK,,Rahul
A160,Vertex Tech 10,Healthcare,Germany,,Divya
A161,Nova Energy 11,Healthcare,United States,288000513,Neha
A162,Blue Holdings 12,N/A,germany,,Rahul
A163,Orion Labs 13,Manufacturing,United Kingdom,,Karthik
A164,Apex Energy 14,Healthcare,United Kingdom,572163615,Vikram
A165,Blue Group 15,Healthcare,United Kingdom,960226208,Vikram
A166,Prime Holdings 16,Healthcare,IN,429097422,Vikram
A167,Vertex Energy 17,Energy,United States,567013808,Rahul
A168,Prime Energy 18,Energy,India,253308283,Neha
A169,Blue Systems 19,Energy,India,709074302,Amit
A170,Delta Energy 20,Banking,Germany,527385805,Karthik
A171,Nova Tech 21,Software,United States,226444910,Karthik
A172,Zen Health 22,Software,Germany,179512774,Neha
A173,Delta Energy 23,Manufacturing,India,269119969,Amit
A174,Lumen Retail 24,Retail,United Kingdom,630452018,
A175,Terra Energy 25,Manufacturing,SG,,Neha
A176,Prime Labs 26,Banking,SG,583156434,Divya
A177,Lumen Holdings 27,Retail,United States,159499094,Amit
A178,Blue Holdings 28,Energy,United Kingdom,657162259,Priya
A179,Zen Health 29,Healthcare,United Kingdom,,Amit
A180,Terra Energy 30,Manufacturing,USA,,Karthik
A181,Terra Labs 31,Banking,United States,411032572,Karthik
A182,Zen Labs 32,Banking,Germany,546270451,Sneha
